4,bullying,"I got made fun of for being fat in elementary, middle, and even high school. People would always go out of their way to tell me how fat I was and how unattractive that made me, especially in comparison to other girls. My nickname in third through fifth grade was ‘sumo wrestler,’ and once a boy drew a sumo wrestler on the blackboard and labeled it with my name. Even today, objectively knowing I am a pretty small person, I always feel fat. I’m working to unlearn harmful beauty standards and body dysmorphia, but years of bullying means I get triggered in the most unexpected ways, like when I’m at the beach or when a fat girl is made fun of in a movie."
8,sexual_harassment,"I work for a non-profit, and one of the services we provide is access to grant funding so that people can go back to school. I was signing up an older gentleman, asking the usual questions about unemployment and supplemental income, and literally in the middle of the conversation, he stopped me mid-sentence and asked, 'Has anyone ever told you you are so sexy?' I gave him my best icy glare, told him to please focus, and went on with my inquiry."
8,racism,"I would have been about 13. I got chased from a Leicester City football match, from the Leicester City stadium by a Leicester City fan back to the town centre. And I'm a young kid. He's calling me a black this and that. I don't know what he is going to do to me, he definitely wasn't going to hug me. The toughest thing for a black player coming through the ranks and then making it, is how you’re perceived in the black community and that role model that you’ve got to present yourself in a certain way. That was tough for me because I knew that I was representing a community, so if I did something wrong it was a whole community that would suffer not me."
6,obscene_language,Jews belong to the worst society in the world. Theyare the number one bullies onw can witness in any society. They always make predujice decisions
8,racism,"Help me. I am being harassed at the office just because I am an Asian. We are a team of 40 out of which 35 are Americans, 3are Mexicans and 2 are Asians. We both are being harassed. They use racial slurs and tease us. They also treat us like janitors even though we are senior developers. They make us get coffee for them and do extra office hours too while they all leave early. I tried to contact the boss but he himself is involved in this. He threatened me that if I leak this information out he will take my job away. I don't know what to do. Please help me."
7,asia,I do not like these asians roaming around in our streets. It feels like filth and disgust when they are around. So this chinese man sits right besides me in my office. He thinks he is super genius but the fuck he knows anything. He is true shit. I wonder why the boss even hired him. I have tried to tell the HR that i suspect something odd of him but everytime they tend not to listen to me. These fucking idiots should not be even given a job here in our country. I aint gonna stand here quietly and do nothing. I am gonna follow him tonight and when the time suits me i would punch him in the face and put him right where that filth belongs.
5,loss,"Nick died tragically early in January 2015. He was 22 years of age. Nick was part of the usual less than perfect family; with brothers, cousins, aunts, uncles, grandparents, friends and various others who loved and confused him with equal measure. As a child Nick was diagnosed as having ADHD and later this was clarified as Asperger's syndrome. This meant that Nick's experience of the world was more confusing than for most of us, as the analytical stream of his brain and the emotional stream were less interconnected. He was to experience learning difficulties, his parents' divorce, his mother dying much too soon, having to take what work might be offered and various tribulations of life."
8,sexual_harassment,"I worked as a photographer for the local newspaper when I was putting myself through college. One day on a shoot, the top dog on location pulled me aside and told me that he thinks about me when he’s sleeping with his wife. He had an 18-year-old daughter, yet he felt I️t was okay to not only sexualize me, but isolate me at my place of work where I couldn’t lash out in retaliation. I told my boss, who said, 'That’s the industry, and when you look like that you should expect I️t.'"
1,color,"I cannot take this anymore. Who do they think they are. These white donkeys think that they can get away with the mental torture and bullying. Enough is enough. I am writing this to you all to let you know that the time has come for us to stand up and take the matters in our own hands. We have now to show these white pigs what we are made of. Why are these white people so much racist and biased. Why cant these white people see the atrocities they are doing against us. We will make these white people pay, and we will make them accountable for sure this time. If you are with me then stand with us."
8,sexual_harassment,"A woman is raped and killed after her ex-boyfriend posts online about killing her. This sort of news is making many people think before sending their daughters outside, specially in the third world counties."
5,loss,"My friend suffered sexual abuse as a child. She was sexually abused by her father and grandfather. She had been molested in front of her, so I knew that something was going on there. When she was about eight or nine, my mom came over for dinner—my dad and I were home alone"
6,color,"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous."
5,bullying,"When you’re desperate to remain invisible, you begin to think that anything that could go wrong, will go wrong. It wasn’t until after leaving school, that I realised that these fears hadn’t subsided. It wasn’t just the kids at school whose opinions I feared, and who I didn’t want to look like a fool in front of, it was the wider world, a world which I was now a part of. When I was much older I was able to pin down exactly what was going on in my mind, and why these things made me feel the way I did – I had anxiety. Once I realised exactly what was going on with my mind, and could put a label on it, I began opening up to my friends and family about how I was feeling. It wasn’t a sob story, or even a plea for help, in fact, once I was able to open up about it, the first instinct was to share a laugh about it."
4,religion,Last year I decided to come back to my home country mostly because of people back lashing me on the basis of my religion. Many times when I used to go to Mosque for prayer people use to abuse me and belittle me. The collegues in the office when notice me not drinking alcohol then call me 'paki'.I never liked all of this and I started having thought to do harm to the people of that community. I am relieved I am back to my home country.
8,sexual_harassment,"Working in Silicon Valley, I didn't expect that being gay would raise an issue with anyone. After three years with the company (and being out), I brought my other half to the company holiday party. On the following Monday, peers from another department stood outside my office and cracked some really disgusting gay and AIDS jokes, yukking it up all the while. At lunchtime, I sought out one of our HR reps, who was also gay. He cautioned me to not make this into an issue as he didn't think it would go well for me in the long run."
5,bullying,"In my late 20's I made the mistake of thinking that I might not want to be around anymore. My depression was beginning to take over my life. Even relatively normal heartaches seem to affect me much greater than the average person. I was experiencing migraines that started at the age of 12. The older I got, the worse they got. I felt like I had lost complete control over my life, so I was going to try to kill myself. I was using an old razor, and when I didn't receive the desired effect, I kept going. Eventually, I stopped thinking about dying and starting to experience what could only be described as calm. I had no idea that this was a thing. My mind just kept taking me back to the thought that I was such a failure, I couldn't even kill myself correctly."
6,religious,"Some members of the cabinet are dead was, and will be, the worst of my life. I am certain that nothing will ever compare to this pain. Nothing we do in this moment, aside from hurting ourselves or others, is wrong. I screamed the word no for hours until my voice was gone. I sat in silent shock while a police officer and the victim services person (close friends, as we live in a small community) sat in our small living room and spoke softly, about what, I have no idea… Somehow flooded a love toward me. Somehow I realized when myself got myself to bed that this was what cared me most days…eventually apologizing for the terrible atrocities that has happened to me."
4,religion,"This is our land and we are the rightful owners of it. These muslims do not deserve to live on our land and we will do everything to make them pay. These muslims are constantly building their mosques on our land and their children are mixing with ours and brainwashing our children. This cannot go on, we have to do something to stop this. I am requesting you all to stand with me, to stand against these intruders. We will get into their places and clean them from the face of our land. These muslims will face our wraths."
8,sexual_harassment,"You look soo damn handsome. I don't know what you hiding under that hood but I bet its gonna be sweet. So I just saw you walking down the aisle yesterday you you know what, I tapped you hanging out with copalo gang and doing drugs. So let me get this clear. I won't hand over the tape to the police if you obey what I say and follow my directions. So it's pretty basic and clear that I am into you and you not gonna be into me cuz of your wife and kids. So you going to come over my house and do it with me otherwise you going to jail boy. I freaking like that body of yours and I want that. So remember to be there tomorrow at 9."
5,bullying,Harry is many times mocked because of being fat. Most of them call him ugly. He has started to get into depression.
3,demographics,"Less people in the world who are now a sort of corner. I’m a bystander and theyve received pretty shitty hand of shit. I see no reason to keep bothering with it when so many things are wrong with me, I hope for it, and why these things made me feel the way I did – I had anxiety."
5,loss,"I was diagnosed a year ago with high functioning autism, and bipolar 2 with psychotic features. It is really difficult having such a formative experience that I can’t share. It changed me so much and that has scared people and made them uncomfortable."
5,loss,"When I close my eyes and recollect the moments before I attempted suicide 6 years ago, the memory still gives me chills. I never wanted to do it. At that very moment, I felt defeated. What drove me to the edge was my uncle dying in front of me months before. I can still remember me crying helplessly while pumping his heart and seeing his life slowly fading away."
5,bullying,"We were actually kicked out by my ex from home in the middle of the night. He went to the kids room, woke them up in the middle of the night, and we were kicked out of our home. I think [it was because] earlier that evening, I had a conversation with him because our Christian counselling session was coming up and usually what happened before a counselling session was, he would work me up to a stage that when I went to the counsellors office he would act like the calm and the more trustworthy partner in the relationship and I would be more hysterical, so to speak."
5,loss,"I remember sitting there every night, wishing things would get better with us. Wishing we still Had what we first had. Knowing I still loved you knowing I would always be there for you. Thinking we had all the time in the world,but it was cut short. The life we had together all the sudden ended because of your accident. Everything I thought was true was not. I have lost my self. I miss you everyday."
4,hatred,"My boss damaged my reputation with two employers, causing me to voluntarily resign from a rewarding role and prompting a manager in a second job to tell me that the stalker’s contact with the police and my emergency service colleagues had been toxic to my career. I just cannot stand and control my anger when he is around. I just want to kill him and do him off off good."
8,power,"This is to inform you that I have been subject to harassment and a hostile work environment by my supervisors including Mr. Harasser, Assistant Chief of Procurement. He told me on several occasions that I should not speak to other supervisors about any problems I am having. He told me that he put my name on a list of people who were going to retire without having received my permission"
5,family_abuse,"I met this woman at Uni whilst doing research. When she broke up with her guy she phoned me and I asked her out. At first it was blissful. Soon she started getting very upset with my clothes. As the relationship wore on we decided to get engaged. She would call me names and she hurt me because she regularly called me ignorant. She got jealous when I phoned or visited my two male friends, with whom I used to go out and have a pizza or drink when I had not yet met her. She accused me of being bad, of looking at other women. When we went to do up her flat, she sought to belittle me and my capabilities. She would never admit that she’d be at fault. She hit me physically twice. In time I grew very weary of her, I grew afraid, I used to worry that while asleep she could hit or even kill me."
8,racism,"When my father arrived in this country from Nigeria in the mid-1960s to study, he faced an awful amount of racism. He has first-hand experience of looking for accommodation and finding signs in windows saying: No Blacks, No Irish, No Dogs. He had his car vandalised on numerous occasions and laughs now about being sent to work close to the furnace of a steel plant without enough protection because he ‘should be used to the heat’. But at the time, I can only imagine how he must have felt."
8,religious_harassment,"Women must stay in their homes. They should not come outside of their houses and must refrain from seeing any other man who they do not know. I said to my wife that she has to obey what I say. My religion does not allow women to go outside and I will not tolerate this as well. I have said to her that she does not need to go to university, she does not need to do a job and she does not need to meet anyone other than me. She has to do veil even if she goes out with me. This is against our religion and I will not allow her. She has to obey otherwise I am even allowed to beat her. She says that she has the religious rights to be free and I am here to protect her not refrain her in any way. She has come from a well off family so she thinks that she can do anything without my permission but she will understand that this is my house and I am the owner so she will do only what I have to say. Otherwise the consequences will be swear."
8,sexual_harassment,"Catcalling just really makes me feel uncomfortable. Even before I was insecure about that, but now I feel really insecure. Now I feel like I have to cover myself up and hide myself, and I don’t really like feeling like I have to hide myself. Teachers don’t really say anything about it, students don’t really say anything about it. Me, my friends, we talk about this all the time. But sometimes we’re not really sure how to feel. We haven’t really been taught about what we should say, and what we should do. At my school, we don’t have resources. We don’t have anything regarding consent. We don't have anything like that on our campus, or they just don’t tell us."
8,racism,"I was refereeing a game and was being observed as well. I sent a player off and he called me an effing P***. I was quite taken aback by it. It was my first year in refereeing and I thought, 'is refereeing actually like this, what’s the point in carrying on? Why should I come out on a cold winter’s day and take this abuse?' Luckily the observer heard it as well. Unfortunately, the players denied it. I called the captain over and said 'you heard what he said and I will be reporting it'. But they continued to deny it and said it wasn’t aimed at me - but I was the only Asian on the field. I started doubting myself, but I was certain in my mind what he had said. The observer heard it as well and at the end of the game we spoke about it and I put a report in."
